id,latitude,longitude,cp,pop,adresse,ville
55160013,49.118343700000004,5.508463399999999,55160,A,AUTOROUTE A4 AIRE DE VERDUN SAINT NICOLAS SUD,HAUDIOMONT
55160014,49.120326,5.5083983,55160,A,AUTOROUTE A4 AIRE DE VERDUN SAINT NICOLAS NORD,HAUDIOMONT
55160015,49.1,5.624,55160,R,15 rue de VERDUN,FRESNES EN WOEVRE
55190002,48.68576,5.72573,55190,R,rd 36 la favorite,Pagny-sur-Meuse
55190003,48.686,5.726,55190,R,ROUTE DÉPARTEMENTALE 36D,PAGNY SUR MEUSE
55200001,48.75735,5.59035,55200,R,Rue du Docteur Edmond Morelle,COMMERCY
55200002,48.76069,5.60211,55200,R,Route d'Euville,COMMERCY
55200003,48.79,5.549,55200,R,106 Route Nationale,Lérouville
55200004,48.756,5.585,55200,R,1 rue Jean Moulin,Commercy
55210001,48.98,5.713,55210,R,63 Rue Raymond Poincaré,VIGNEULLES-LèS-HATTONCHâTEL
55210002,48.976,5.701,55210,R,28 Rue de Saint-Mihiel,Vigneulles-lès-Hattonchâtel
55270002,49.229,5.042,55270,R,Porte de Cheppy,Varennes-en-Argonne
55300001,48.89,5.551,55300,R,RUE DU DOCTEUR THIERRY,Saint-Mihiel
55300002,48.888,5.54,55300,R,6 RUE DU FORT,Saint-Mihiel
55300003,48.90246,5.51499,55300,R,Route de Bar le Duc,Chauvoncourt
55320001,49.077,5.448,55320,R,Lieu-dit le moulin Charlier,Dieue-sur-Meuse
55400003,49.217,5.643,55400,R,30 Rue du 3ème RHC,ÉTAIN
55430001,49.162,5.649,55430,R,6 Rue du Général de Gaulle,Belleville-sur-Meuse
55500001,48.677,5.326,55500,R,Rue de la Ballastière,Ligny-en-Barrois
55500002,48.68769,5.32119,55500,R,27 RUE DES ETATS UNIS,Ligny-en-Barrois
55500003,48.699,5.306,55500,R,91 rue de Ligny,Velaines
55600001,49.513,5.375,55600,R,11 Avenue de Verdun,Montmédy
55700005,49.483,5.202,55700,R,ZAC des cailloux,STENAY
55700006,49.483853119268,5.2033975146027,55700,R,AVENUE DE VERDUN,STENAY
55800002,48.825,4.993,55800,R,30 rue de la tresse,REVIGNY-SUR-ORNAIN
56000001,47.66113,-2.75507,56000,R, Boulevard de la Paix,Vannes
56000002,47.6691722685,-2.80336454446,56000,R,16 Avenue de la Marne,VANNES
56000003,47.644,-2.743,56000,R,AVENUE DE KERVILER,VANNES
56000004,47.666,-2.794,56000,R,ZC PARC LANN,Vannes
56000005,47.639,-2.776,56000,R,4 PASSAGE DE FAREHAM,VANNES
56000006,47.664,-2.767,56000,R,6 Avenue Georges Pompidou,VANNES
56000008,47.6691722685,-2.80336454446,56000,R,16 AVENUE DE LA MARNE,VANNES
56000009,47.66113,-2.75507,56000,R,BOULEVARD DE LA PAIX,VANNES
56006001,47.66,-2.792,56000,R,101 AVENUE DE LA MARNE,VANNES
56100002,47.762,-3.378,56100,R,AVENUE LENINE,LORIENT
56100003,47.73528,-3.38937,56100,R,48 Avenue Chenailler Dit Col. Morice,Lorient
56100006,47.73551,-3.37039,56100,R,Rue Benoît Frachon,LORIENT
56100007,47.764,-3.396,56100,R,2 Rue du Colonel Jean Muller,LORIENT
56100008,47.747,-3.388,56100,R,Rue Alfred Dreyfus,LORIENT
56100009,47.755,-3.39,56100,R,Rue Général Jacques de Bollardiere,LORIENT
56100012,47.73551,-3.37039,56100,R,"2, RUE BENOIT FRACHON",LORIENT
56100013,47.761429586717,-3.3773171520587,56100,R,AVENUE LENINE,LORIENT
56109001,47.733,-3.385,56100,R,Rue MONISTROL,LORIENT
56110001,48.14145,-3.61998,56110,R,Route de Quimper,Gourin
56110002,48.141,-3.602,56110,R,RUE DE TOUL AN CHY,GOURIN
56120001,47.96,-2.546,56120,R,11 rue du Porhoët,JOSSELIN
56120004,47.964,-2.545,56120,R,Espace Commercial Oxygène,JOSSELIN
56120005,47.938038600000006,-2.5643555,56120,R,LES QUATRES VENTS,Guégon
56130001,47.526,-2.31,56130,R,LE PONT,Marzan
56130002,47.53507,-2.28322,56130,R,routes de nantes,NIVILLAC
56140001,47.81,-2.393,56140,R,Avenue de la Gare,MALESTROIT
56140002,47.805351384800005,-2.4022643160099997,56140,R,ZA DE LA PAVIOTAIE,SAINT-MARCEL
56150001,47.877,-3.02,56150,R,ZA de Kermestre,BAUD
56150004,47.882,-3.018,56150,R,Route de Pontivy,Baud
56150005,47.8698192,-3.0217077000000003,56150,R,17 rue d'Auray,BAUD
