id,nom,ouverture,fermeture,ferme,station_id
1,Lundi,01.00,01.00,1,1390001
2,Mardi,01.00,01.00,1,1390001
3,Mercredi,01.00,01.00,1,1390001
4,Jeudi,01.00,01.00,1,1390001
5,Vendredi,01.00,01.00,1,1390001
6,Samedi,01.00,01.00,1,1390001
7,Dimanche,01.00,01.00,1,1390001
1,Lundi,07.00,20.00,,1390002
2,Mardi,07.00,20.00,,1390002
3,Mercredi,07.00,20.00,,1390002
4,Jeudi,07.00,20.00,,1390002
5,Vendredi,07.00,20.00,,1390002
6,Samedi,07.00,20.00,,1390002
7,Dimanche,08.00,20.00,,1390002
1,Lundi,,,,1390009
2,Mardi,,,,1390009
3,Mercredi,,,,1390009
4,Jeudi,,,,1390009
5,Vendredi,,,,1390009
6,Samedi,,,,1390009
7,Dimanche,,,,1390009
1,Lundi,00.00,23.59,,1390010
2,Mardi,00.00,23.59,,1390010
3,Mercredi,00.00,23.59,,1390010
4,Jeudi,00.00,23.59,,1390010
5,Vendredi,00.00,23.59,,1390010
6,Samedi,00.00,23.59,,1390010
7,Dimanche,00.00,23.59,,1390010
1,Lundi,00.00,00.00,,1390011
2,Mardi,00.00,00.00,,1390011
3,Mercredi,00.00,00.00,,1390011
4,Jeudi,00.00,00.00,,1390011
5,Vendredi,00.00,00.00,,1390011
6,Samedi,00.00,00.00,,1390011
7,Dimanche,00.00,00.00,,1390011
1,Lundi,00.00,23.59,,1400001
2,Mardi,00.00,23.59,,1400001
3,Mercredi,00.00,23.59,,1400001
4,Jeudi,00.00,23.59,,1400001
5,Vendredi,00.00,23.59,,1400001
6,Samedi,00.00,23.59,,1400001
7,Dimanche,00.00,23.59,,1400001
1,Lundi,,,,1400003
2,Mardi,,,,1400003
3,Mercredi,,,,1400003
4,Jeudi,,,,1400003
5,Vendredi,,,,1400003
6,Samedi,,,,1400003
7,Dimanche,,,,1400003
1,Lundi,,,,1400005
2,Mardi,,,,1400005
3,Mercredi,,,,1400005
4,Jeudi,,,,1400005
5,Vendredi,,,,1400005
6,Samedi,,,,1400005
7,Dimanche,,,,1400005
1,Lundi,,,,1430004
2,Mardi,,,,1430004
3,Mercredi,,,,1430004
4,Jeudi,,,,1430004
5,Vendredi,,,,1430004
6,Samedi,,,,1430004
7,Dimanche,,,,1430004
1,Lundi,,,,1440001
2,Mardi,,,,1440001
3,Mercredi,,,,1440001
4,Jeudi,,,,1440001
5,Vendredi,,,,1440001
6,Samedi,,,,1440001
7,Dimanche,,,,1440001
1,Lundi,06.00,20.00,,1440002
2,Mardi,06.00,20.00,,1440002
3,Mercredi,06.00,20.00,,1440002
4,Jeudi,06.00,20.00,,1440002
5,Vendredi,06.00,20.00,,1440002
6,Samedi,07.00,13.00,,1440002
7,Dimanche,,,1,1440002
1,Lundi,06.30,12.00,,1460002
2,Mardi,06.30,12.00,,1460002
3,Mercredi,06.30,12.00,,1460002
4,Jeudi,06.30,12.00,,1460002
5,Vendredi,06.30,12.00,,1460002
6,Samedi,,,1,1460002
7,Dimanche,,,1,1460002
1,Lundi,,,,1460003
2,Mardi,,,,1460003
3,Mercredi,,,,1460003
4,Jeudi,,,,1460003
5,Vendredi,,,,1460003
6,Samedi,,,,1460003
7,Dimanche,,,,1460003
1,Lundi,07.00,12.15,,1480004
2,Mardi,07.00,12.00,,1480004
3,Mercredi,07.00,12.00,,1480004
4,Jeudi,07.00,12.00,,1480004
5,Vendredi,07.00,12.15,,1480004
6,Samedi,08.00,12.00,,1480004
7,Dimanche,,,1,1480004
1,Lundi,,,,1500001
2,Mardi,,,,1500001
3,Mercredi,,,,1500001
4,Jeudi,,,,1500001
5,Vendredi,,,,1500001
6,Samedi,,,,1500001
7,Dimanche,,,,1500001
1,Lundi,,,,1500003
2,Mardi,,,,1500003
3,Mercredi,,,,1500003
4,Jeudi,,,,1500003
5,Vendredi,,,,1500003
6,Samedi,,,,1500003
7,Dimanche,,,,1500003
1,Lundi,08.30,12.00,,1500007
2,Mardi,08.30,12.00,,1500007
3,Mercredi,08.30,12.00,,1500007
4,Jeudi,08.30,12.00,,1500007
5,Vendredi,08.30,12.00,,1500007
6,Samedi,08.30,12.00,,1500007
7,Dimanche,,,,1500007
1,Lundi,,,1,1500008
2,Mardi,,,1,1500008
3,Mercredi,,,1,1500008
4,Jeudi,,,1,1500008
5,Vendredi,,,1,1500008
6,Samedi,,,1,1500008
7,Dimanche,,,1,1500008
