service,station_id
"Vente de gaz domestique (Butane, Propane)",1400001
Automate CB 24/24,1400001
DAB (Distributeur automatique de billets),1400001
Vente de fioul domestique,1400003
Station de gonflage,1400003
Services réparation / entretien,1400003
DAB (Distributeur automatique de billets),1400003
Toilettes publiques,1400005
Boutique alimentaire,1400005
Restauration à emporter,1400005
Station de gonflage,1400005
Carburant additivé,1400005
Location de véhicule,1400005
Lavage automatique,1400005
Lavage manuel,1400005
"Vente de gaz domestique (Butane, Propane)",1400005
DAB (Distributeur automatique de billets),1400005
Toilettes publiques,1430001
Douches,1430001
Boutique alimentaire,1430001
Boutique non alimentaire,1430001
Station de gonflage,1430001
Carburant additivé,1430001
Piste poids lourds,1430001
Espace bébé,1430001
DAB (Distributeur automatique de billets),1430001
Toilettes publiques,1430003
Douches,1430003
Boutique alimentaire,1430003
Station de gonflage,1430003
Carburant additivé,1430003
Espace bébé,1430003
Toilettes publiques,1430004
Vente de fioul domestique,1430004
Carburant additivé,1430004
"Vente de gaz domestique (Butane, Propane)",1430004
DAB (Distributeur automatique de billets),1430004
Boutique non alimentaire,1440001
Station de gonflage,1440001
Carburant additivé,1440001
Piste poids lourds,1440001
Lavage automatique,1440001
Services réparation / entretien,1440001
Toilettes publiques,1440002
Boutique non alimentaire,1440002
Station de gonflage,1440002
Carburant additivé,1440002
Piste poids lourds,1440002
Services réparation / entretien,1440002
"Vente de gaz domestique (Butane, Propane)",1440002
Vente d'additifs carburants,1440002
Wifi,1440002
Toilettes publiques,1440003
Relais colis,1440003
Boutique alimentaire,1440003
Boutique non alimentaire,1440003
Restauration à emporter,1440003
Vente de fioul domestique,1440003
Station de gonflage,1440003
Carburant additivé,1440003
Piste poids lourds,1440003
Lavage automatique,1440003
"Vente de gaz domestique (Butane, Propane)",1440003
DAB (Distributeur automatique de billets),1440003
Toilettes publiques,1460002
Boutique alimentaire,1460002
Boutique non alimentaire,1460002
Station de gonflage,1460002
Carburant additivé,1460002
Piste poids lourds,1460002
Services réparation / entretien,1460002
"Vente de gaz domestique (Butane, Propane)",1460002
Vente d'additifs carburants,1460002
Automate CB 24/24,1460002
Piste poids lourds,1460003
Automate CB 24/24,1460003
DAB (Distributeur automatique de billets),1460003
Vente de fioul domestique,1470001
Station de gonflage,1470001
Carburant additivé,1470001
Services réparation / entretien,1470001
Toilettes publiques,1470002
Boutique alimentaire,1470002
Boutique non alimentaire,1470002
Restauration à emporter,1470002
Location de véhicule,1470002
Lavage automatique,1470002
Lavage manuel,1470002
"Vente de gaz domestique (Butane, Propane)",1470002
DAB (Distributeur automatique de billets),1470002
"Vente de gaz domestique (Butane, Propane)",1480001
Vente de fioul domestique,1480004
Station de gonflage,1480004
Lavage automatique,1480004
Services réparation / entretien,1480004
"Vente de gaz domestique (Butane, Propane)",1480004
Vente d'additifs carburants,1480004
Automate CB 24/24,1480004
Station de gonflage,1500001
Automate CB 24/24,1500001
Toilettes publiques,1500003
Douches,1500003
Boutique alimentaire,1500003
Boutique non alimentaire,1500003
Restauration à emporter,1500003
Restauration sur place,1500003
Station de gonflage,1500003
Carburant additivé,1500003
Piste poids lourds,1500003
Vente d'additifs carburants,1500003
Wifi,1500003
Automate CB 24/24,1500003
Toilettes publiques,1500004
Boutique alimentaire,1500004
Boutique non alimentaire,1500004
Vente de fioul domestique,1500004
Station de gonflage,1500004
Carburant additivé,1500004
Piste poids lourds,1500004
Lavage automatique,1500004
Services réparation / entretien,1500004
"Vente de gaz domestique (Butane, Propane)",1500004
DAB (Distributeur automatique de billets),1500004
Toilettes publiques,1500006
Douches,1500006
Boutique alimentaire,1500006
Boutique non alimentaire,1500006
Restauration à emporter,1500006
Restauration sur place,1500006
Station de gonflage,1500006
Carburant additivé,1500006
Piste poids lourds,1500006
Toilettes publiques,1500007
Restauration à emporter,1500007
Restauration sur place,1500007
Vente de pétrole lampant,1500007
"Vente de gaz domestique (Butane, Propane)",1500007
Automate CB 24/24,1500007
DAB (Distributeur automatique de billets),1500007
Services réparation / entretien,1500008
"Vente de gaz domestique (Butane, Propane)",1500008
Vente d'additifs carburants,1500008
Automate CB 24/24,1500008
Station de gonflage,1510002
Carburant additivé,1510002
"Vente de gaz domestique (Butane, Propane)",1510002
Laverie,1510003
Location de véhicule,1510003
"Vente de gaz domestique (Butane, Propane)",1510003
Automate CB 24/24,1510003
Automate CB 24/24,1540001
DAB (Distributeur automatique de billets),1540001
DAB (Distributeur automatique de billets),1540002
Laverie,1540003
Piste poids lourds,1540003
"Vente de gaz domestique (Butane, Propane)",1540003
Automate CB 24/24,1540003
Station de gonflage,1560001
Lavage automatique,1560001
Lavage manuel,1560001
"Vente de gaz domestique (Butane, Propane)",1560001
DAB (Distributeur automatique de billets),1560001
DAB (Distributeur automatique de billets),1570001
Boutique non alimentaire,1590001
Vente de fioul domestique,1590001
Station de gonflage,1590001
Carburant additivé,1590001
Services réparation / entretien,1590001
"Vente de gaz domestique (Butane, Propane)",1590001
Vente d'additifs carburants,1590001
Automate CB 24/24,1590001
Laverie,1590002
Boutique alimentaire,1590002
Vente de pétrole lampant,1590002
Location de véhicule,1590002
Piste poids lourds,1590002
Lavage automatique,1590002
Lavage manuel,1590002
"Vente de gaz domestique (Butane, Propane)",1590002
DAB (Distributeur automatique de billets),1590002
"Vente de gaz domestique (Butane, Propane)",1600001
DAB (Distributeur automatique de billets),1600001
"Vente de gaz domestique (Butane, Propane)",1600002
DAB (Distributeur automatique de billets),1600002
Toilettes publiques,1600003
Laverie,1600003
Relais colis,1600003
Boutique alimentaire,1600003
Boutique non alimentaire,1600003
Station de gonflage,1600003
Piste poids lourds,1600003
"Vente de gaz domestique (Butane, Propane)",1600003
DAB (Distributeur automatique de billets),1600003
"Vente de gaz domestique (Butane, Propane)",1630001
DAB (Distributeur automatique de billets),1630001
"Vente de gaz domestique (Butane, Propane)",1630003
DAB (Distributeur automatique de billets),1630003
Lavage automatique,1630004
"Vente de gaz domestique (Butane, Propane)",1630004
DAB (Distributeur automatique de billets),1630004
Laverie,1700004
Vente de fioul domestique,1700004
Vente de pétrole lampant,1700004
Station de gonflage,1700004
Location de véhicule,1700004
Piste poids lourds,1700004
Lavage automatique,1700004
Lavage manuel,1700004
"Vente de gaz domestique (Butane, Propane)",1700004
Automate CB 24/24,1700004
DAB (Distributeur automatique de billets),1700004
Toilettes publiques,1710001
Boutique alimentaire,1710001
Boutique non alimentaire,1710001
Restauration à emporter,1710001
Restauration sur place,1710001
Vente de pétrole lampant,1710001
Station de gonflage,1710001
Lavage manuel,1710001
Espace bébé,1710001
"Vente de gaz domestique (Butane, Propane)",1710001
DAB (Distributeur automatique de billets),1710001
Location de véhicule,1750001
Lavage automatique,1750001
"Vente de gaz domestique (Butane, Propane)",1750001
DAB (Distributeur automatique de billets),1750001
Station de gonflage,1800001
"Vente de gaz domestique (Butane, Propane)",1800001
DAB (Distributeur automatique de billets),1800001
Relais colis,1960001
Boutique alimentaire,1960001
Boutique non alimentaire,1960001
Station de gonflage,1960001
Location de véhicule,1960001
"Vente de gaz domestique (Butane, Propane)",1960001
DAB (Distributeur automatique de billets),1960001
Toilettes publiques,1960003
Boutique alimentaire,1960003
Vente de fioul domestique,1960003
Station de gonflage,1960003
Carburant additivé,1960003
Piste poids lourds,1960003
Lavage automatique,1960003
"Vente de gaz domestique (Butane, Propane)",1960003
Toilettes publiques,1960004
Boutique alimentaire,1960004
Vente de fioul domestique,1960004
Station de gonflage,1960004
Carburant additivé,1960004
Lavage automatique,1960004
"Vente de gaz domestique (Butane, Propane)",1960004
Laverie,1960005
Relais colis,1960005
Station de gonflage,1960005
Piste poids lourds,1960005
Lavage automatique,1960005
"Vente de gaz domestique (Butane, Propane)",1960005
Bornes électriques,1960005
Automate CB 24/24,1960005
DAB (Distributeur automatique de billets),1960005
Toilettes publiques,1960006
Boutique alimentaire,1960006
Boutique non alimentaire,1960006
Station de gonflage,1960006
Carburant additivé,1960006
Piste poids lourds,1960006
Lavage automatique,1960006
"Vente de gaz domestique (Butane, Propane)",1960006
Toilettes publiques,1980001
Boutique alimentaire,1980001
Boutique non alimentaire,1980001
Restauration à emporter,1980001
Station de gonflage,1980001
Carburant additivé,1980001
Piste poids lourds,1980001
Lavage automatique,1980001
Lavage manuel,1980001
Services réparation / entretien,1980001
"Vente de gaz domestique (Butane, Propane)",1980001
Station de gonflage,2000002
Carburant additivé,2000002
"Vente de gaz domestique (Butane, Propane)",2000002
Automate CB 24/24,2000002
DAB (Distributeur automatique de billets),2000002
"Vente de gaz domestique (Butane, Propane)",2000003
DAB (Distributeur automatique de billets),2000003
Boutique alimentaire,2000004
Carburant additivé,2000004
Piste poids lourds,2000004
Lavage automatique,2000004
Toilettes publiques,2000005
Relais colis,2000005
Boutique alimentaire,2000005
Boutique non alimentaire,2000005
Restauration à emporter,2000005
Station de gonflage,2000005
Carburant additivé,2000005
Piste poids lourds,2000005
Lavage automatique,2000005
Services réparation / entretien,2000005
"Vente de gaz domestique (Butane, Propane)",2000005
Vente d'additifs carburants,2000005
Wifi,2000005
Automate CB 24/24,2000005
DAB (Distributeur automatique de billets),2000005
Toilettes publiques,2000008
Boutique alimentaire,2000008
Boutique non alimentaire,2000008
Vente de fioul domestique,2000008
Station de gonflage,2000008
Location de véhicule,2000008
Piste poids lourds,2000008
Espace bébé,2000008
"Vente de gaz domestique (Butane, Propane)",2000008
DAB (Distributeur automatique de billets),2000008
Toilettes publiques,2000009
Laverie,2000009
Vente de pétrole lampant,2000009
Station de gonflage,2000009
Piste poids lourds,2000009
Lavage automatique,2000009
Lavage manuel,2000009
"Vente de gaz domestique (Butane, Propane)",2000009
Bornes électriques,2000009
DAB (Distributeur automatique de billets),2000009
Boutique alimentaire,2000011
Station de gonflage,2000011
Piste poids lourds,2000011
Lavage automatique,2000011
Vente d'additifs carburants,2000011
Automate CB 24/24,2000011
Vente de pétrole lampant,2100001
Station de gonflage,2100001
Carburant additivé,2100001
Aire de camping-cars,2100001
Piste poids lourds,2100001
Lavage automatique,2100001
Lavage manuel,2100001
"Vente de gaz domestique (Butane, Propane)",2100001
Automate CB 24/24,2100001
DAB (Distributeur automatique de billets),2100001
Toilettes publiques,2100003
Boutique alimentaire,2100003
Boutique non alimentaire,2100003
Station de gonflage,2100003
Piste poids lourds,2100003
Lavage automatique,2100003
Relais colis,2100006
Boutique alimentaire,2100006
Boutique non alimentaire,2100006
